,index,Price,Baths,Beds,Square_Feet,Year_Built,Garages,Lot_SqFt,Date_Sold,Days_On_Market
416,13,678000,2.0,3,1997,1999,3,8224,02/21/2023,266
417,14,720000,2.1,4,2288,2023,2,6465,02/17/2023,229
418,15,595000,2.0,3,1457,1995,2,5275,02/17/2023,223
419,16,812500,2.1,4,2672,2000,3,7985,02/17/2023,210
420,17,545000,2.0,3,1363,1920,0,4678,02/17/2023,282
421,18,782000,2.0,3,2006,1999,3,8372,02/16/2023,236
422,19,1000000,3.1,4,3426,2003,3,7227,02/16/2023,223
423,20,851746,2.1,3,2190,2023,2,6580,02/15/2023,229
424,21,716000,2.1,4,2269,1990,2,13245,02/15/2023,223
425,22,455000,2.0,2,1313,2005,2,0,02/14/2023,229
426,23,172500,2.0,2,840,2021,0,0,02/13/2023,216
427,24,593562,2.1,3,1832,2023,2,2800,02/09/2023,312
428,25,675000,3.0,4,1987,1989,3,9701,02/09/2023,221
429,26,726000,2.0,4,2028,2000,2,9296,02/09/2023,229
430,27,670000,2.0,3,1773,2001,2,6878,02/07/2023,231
431,28,511000,2.0,2,1728,2006,2,0,02/07/2023,229
432,29,526000,2.0,3,1198,1993,2,5780,02/07/2023,221
433,30,795000,3.0,4,2295,1998,3,6935,02/06/2023,234
434,0,589000,2.0,2,1489,1998,2,3825,02/06/2023,230
435,1,610000,2.0,4,1878,2001,2,6591,02/03/2023,231
436,2,710000,2.0,3,1925,1991,3,11340,02/02/2023,229
437,3,455000,2.1,2,1364,2005,2,0,02/01/2023,267
438,4,550000,2.1,4,2102,2023,2,2800,01/31/2023,221
439,5,622990,3.0,4,2278,2023,2,4667,01/31/2023,310
440,6,637000,2.1,3,2153,1984,2,2570,01/31/2023,258
441,7,739000,2.0,3,1919,2013,3,6952,01/30/2023,228
442,8,760000,2.1,3,1771,2000,2,5545,01/30/2023,229
443,9,850000,3.1,5,3331,2022,3,6105,01/29/2023,286
444,10,85000,1.0,2,702,1999,0,0,01/28/2023,297
445,11,525000,2.0,3,1145,1977,2,8050,01/27/2023,404
446,12,770000,3.0,4,2770,2022,2,6812,01/26/2023,269
447,13,550000,2.0,3,1429,2023,2,4069,01/24/2023,389
448,14,910000,3.0,5,3210,1993,3,12156,01/20/2023,237
449,15,1440000,3.1,4,3568,2005,3,19051,01/20/2023,239
450,16,175000,2.0,2,1650,1979,0,0,01/19/2023,232
451,17,803689,2.1,2,1876,2022,2,5238,01/18/2023,343
452,18,765000,2.1,4,2710,1993,3,8712,01/18/2023,349
453,19,119000,2.0,2,1536,1970,0,0,01/18/2023,444
454,20,720000,3.0,4,2258,1988,2,8420,01/17/2023,257
455,21,695000,2.0,3,1798,1998,3,7658,01/17/2023,347
456,22,550000,2.0,3,1198,1993,2,5388,01/17/2023,341
457,23,2200000,5.3,6,6053,2023,5,14243,01/13/2023,279
458,24,815000,2.0,3,2300,2004,3,9352,01/13/2023,265
459,25,785000,3.0,3,2020,1995,2,10481,01/13/2023,305
460,26,585000,2.1,4,1930,2008,2,2609,01/13/2023,341
461,27,890000,2.1,3,2710,1994,3,9291,01/13/2023,368
462,28,560000,2.1,3,1654,2023,2,3120,01/12/2023,284
463,29,425000,2.0,2,1012,1997,2,3384,01/12/2023,301
464,30,400390,1.0,3,1039,1955,0,6007,01/12/2023,295
465,0,708252,3.0,3,2228,2022,2,6303,01/10/2023,285
466,1,420000,2.0,3,1149,1955,0,10228,01/10/2023,270
467,2,1123500,3.0,4,3246,1998,3,9727,01/09/2023,334
468,3,800000,3.0,5,2390,1986,2,21228,01/09/2023,328
469,4,745000,3.0,4,2270,1990,3,13335,01/09/2023,305
470,5,780000,2.0,4,2098,1997,3,8298,01/09/2023,291
471,6,675000,2.1,4,2381,2001,3,6904,01/06/2023,376
472,7,1080000,3.1,4,3404,1999,4,11884,01/05/2023,280
473,8,1440000,4.2,5,3570,2022,3,9744,01/05/2023,340
474,9,722000,2.0,3,2090,2002,2,7375,01/05/2023,287
475,10,779544,2.1,2,1925,2022,2,5300,01/04/2023,343
476,11,1400000,3.0,4,3776,1985,5,36151,01/04/2023,252
477,12,765377,2.1,4,2191,2022,2,8812,01/03/2023,269
478,13,960000,3.0,4,2956,2001,3,8647,01/03/2023,267
479,14,875000,3.1,4,2926,1992,2,9148,01/03/2023,299
480,15,775000,2.1,4,2370,2022,2,6518,12/30/2022,324
481,16,695000,3.0,4,2256,1989,3,8699,12/30/2022,313
482,17,568000,2.0,3,1204,1979,2,7065,12/30/2022,269
483,18,599000,2.0,3,1506,1999,2,7118,12/30/2022,271
484,19,600450,2.0,2,1398,2022,2,4876,12/29/2022,304
485,20,140000,2.0,2,1060,1971,0,0,12/28/2022,339
486,21,295000,2.0,2,2040,1978,0,0,12/28/2022,361
487,22,1130000,4.1,4,4546,1991,4,14651,12/27/2022,436
488,23,790000,3.0,4,3154,2001,3,7292,12/27/2022,368
489,24,575000,2.1,3,1677,1994,2,4447,12/27/2022,433
490,25,680000,3.0,4,2357,2022,2,2970,12/27/2022,348
491,26,753990,3.0,4,2611,2022,2,4000,12/26/2022,330
492,27,700000,3.0,4,2768,2019,2,5266,12/23/2022,342
493,28,590000,2.1,3,2213,2006,2,8150,12/22/2022,337
494,29,900000,3.0,3,2400,2018,2,6355,12/22/2022,272
495,30,650000,3.0,4,2157,2020,2,3655,12/21/2022,286
496,0,745000,2.1,4,2086,1983,3,17508,12/20/2022,331
497,1,215000,2.0,2,1440,1973,0,0,12/19/2022,379
498,2,560000,3.0,3,1718,2001,0,3511,12/19/2022,300
499,3,750000,3.0,4,2427,1990,3,12791,12/19/2022,319
500,4,630000,3.1,4,2143,2022,2,4255,12/19/2022,299
501,5,950000,2.1,5,3360,2000,3,14651,12/15/2022,328
502,6,530000,2.1,3,1747,2005,2,0,12/15/2022,341
503,7,515000,2.0,3,1195,1985,2,8751,12/15/2022,280
504,8,210000,2.0,2,1776,1978,0,0,12/13/2022,440
505,9,660000,2.0,3,2079,1991,2,6186,12/12/2022,314
506,10,590000,2.0,3,1327,1999,2,5271,12/09/2022,341
507,11,1475000,3.0,4,3084,2020,2,12746,12/09/2022,293
508,12,727000,3.0,4,1834,1999,2,6125,12/09/2022,291
509,13,565000,3.0,3,1709,1998,2,3389,12/09/2022,354
510,14,525000,2.1,3,1583,2016,2,2544,12/09/2022,304
511,15,635000,2.1,4,2335,2018,2,3293,12/08/2022,417
512,16,515000,2.0,3,1302,1954,1,5593,12/08/2022,299
513,17,149500,2.0,2,1392,1970,0,0,12/08/2022,391
514,18,455000,2.1,2,1355,2005,2,0,12/07/2022,320
515,19,1050000,4.1,5,3000,2020,3,7919,12/07/2022,284
516,20,720500,2.0,3,1793,1989,2,8133,12/07/2022,311
517,21,500000,2.0,2,1207,1995,2,8059,12/05/2022,305
518,22,595000,2.0,3,1458,2003,2,7998,12/05/2022,339
519,23,725000,2.1,4,2237,2000,3,7758,12/05/2022,299
520,24,715000,2.0,3,2082,2003,2,7100,12/02/2022,361
521,25,560000,2.1,3,1573,2004,2,3729,12/02/2022,312
522,26,560000,2.0,3,1352,1992,2,4948,12/02/2022,432
523,27,1060000,3.1,4,3426,2004,3,7218,12/02/2022,326
524,28,775000,3.0,4,1834,2000,2,7950,12/02/2022,306
525,29,715000,2.0,3,2090,2002,2,8468,12/01/2022,438
526,30,776500,3.0,4,2995,2022,2,4000,11/30/2022,410
527,0,725000,2.1,3,2495,1987,2,12065,11/29/2022,383
528,1,650000,3.0,5,2278,2022,2,5119,11/28/2022,320
529,2,602000,2.0,3,1313,1996,2,5824,11/28/2022,326
530,3,699000,2.0,4,2271,1991,2,7998,11/28/2022,348
531,4,725000,3.0,4,2214,1991,3,7131,11/23/2022,411
532,5,650000,2.0,4,2285,1987,2,19368,11/23/2022,313
533,6,1000000,3.0,4,2556,1993,3,19731,11/23/2022,300
534,7,815000,2.0,3,2278,2003,2,6939,11/22/2022,335
535,8,700000,2.0,3,2342,2022,2,6078,11/22/2022,411
536,9,279000,2.0,2,1800,1978,0,0,11/22/2022,390
537,10,623990,2.0,3,1429,2022,2,4250,11/21/2022,340
538,11,605000,2.0,3,1488,1995,2,4792,11/21/2022,319
539,12,1200000,3.0,6,3740,2002,3,14515,11/21/2022,321
540,13,650000,2.1,3,2028,1985,2,13744,11/18/2022,326
541,14,166000,2.0,2,1440,1979,0,0,11/18/2022,328
542,15,810000,3.0,4,2263,1989,3,7431,11/18/2022,328
543,16,640000,2.0,3,1472,1990,3,6865,11/18/2022,355
544,17,505000,1.1,3,1196,1959,2,7000,11/17/2022,404
545,18,809500,3.0,4,2950,1990,3,28168,11/17/2022,320
546,19,650000,2.1,5,2625,1980,2,18733,11/17/2022,340
547,20,435000,2.0,3,1421,1973,2,8716,11/16/2022,375
548,21,625000,2.0,4,1939,1990,2,7588,11/15/2022,354
549,22,1350000,3.1,4,3568,2005,3,19096,11/15/2022,306
550,23,805000,3.0,5,2812,1990,3,7623,11/15/2022,395
551,24,574900,2.1,3,1625,1995,2,4901,11/15/2022,327
552,25,1000000,4.0,5,4223,1989,3,22226,11/14/2022,326
553,26,751000,2.0,3,1757,1989,3,13290,11/14/2022,327
554,27,586500,2.0,3,1200,1985,2,7471,11/10/2022,344
555,28,1129000,3.1,4,4409,2004,3,21183,11/10/2022,326
556,29,504000,2.0,2,1519,2006,2,0,11/10/2022,446
557,30,620000,2.0,3,1895,2022,2,2970,11/10/2022,411
558,0,785000,2.0,4,1787,1993,3,8276,11/10/2022,320
559,1,905000,3.0,4,2835,1992,3,11793,11/10/2022,450
560,2,850000,2.1,4,2381,2000,3,8285,11/10/2022,340
561,3,685000,2.1,4,2185,1985,2,11975,11/09/2022,369
562,4,750000,2.1,4,2462,2006,3,8503,11/09/2022,462
563,5,1388000,3.1,3,3104,2018,3,16964,11/09/2022,326
564,6,824500,4.0,6,3268,1990,3,12610,11/08/2022,390
565,7,478000,2.0,2,1130,2002,2,3886,11/07/2022,459
566,8,715000,3.0,4,2409,2019,2,3293,11/07/2022,355
567,9,670000,2.0,3,1752,1992,3,10454,11/07/2022,377
568,10,585000,2.0,3,1832,2022,2,2800,11/04/2022,341
569,11,950000,3.0,4,2719,1996,3,11476,11/04/2022,335
570,12,1100000,3.1,5,3246,2013,3,11521,11/03/2022,406
571,13,740000,3.1,3,2350,2014,2,6560,11/03/2022,339
572,14,775000,3.0,4,2479,1991,3,5998,11/02/2022,333
573,15,625000,2.1,3,1710,1997,3,6011,11/02/2022,320
574,16,950000,3.0,5,2736,2004,3,8080,11/02/2022,362
575,17,1175000,3.0,4,3255,2002,3,20774,11/02/2022,410
576,18,1400000,5.0,5,3877,2022,3,9649,11/02/2022,368
577,19,280000,2.0,2,2176,1979,0,0,11/02/2022,431
578,20,350000,1.1,2,1243,1983,0,945,11/01/2022,377
579,21,680000,2.0,3,1779,2021,2,5375,11/01/2022,410
580,22,665000,2.0,4,1607,2002,2,9165,11/01/2022,320
581,23,655000,2.1,3,2203,2015,2,4992,10/31/2022,379
582,24,690000,2.1,3,1860,1990,2,15694,10/31/2022,353
583,25,722000,2.0,4,2043,2013,3,8446,10/31/2022,347
584,26,861500,3.0,5,3284,1974,2,17100,10/28/2022,333
585,27,290000,2.0,3,1800,1973,0,0,10/28/2022,375
586,28,725000,3.0,4,2620,1998,3,7745,10/28/2022,334
587,29,730000,3.0,3,2061,2014,2,4831,10/28/2022,349
588,30,725000,2.0,4,2015,1991,3,7396,10/27/2022,326
589,0,935000,3.1,3,2780,2019,3,11793,10/27/2022,355
590,1,470000,2.1,2,1355,2004,2,0,10/27/2022,348
591,2,1175000,3.0,6,3488,2001,3,13471,10/26/2022,362
592,3,590062,2.1,3,1832,2022,2,2884,10/25/2022,491
593,4,525000,2.0,3,1470,1979,2,8651,10/25/2022,343
594,5,620000,2.1,4,1938,2017,2,3036,10/25/2022,334
595,6,749000,2.0,4,2118,1964,2,11702,10/24/2022,396
596,7,532000,2.0,3,1245,1995,2,4596,10/24/2022,474
597,8,690000,2.0,3,1891,2020,2,7166,10/24/2022,335
598,9,790000,3.0,4,2258,1987,2,7492,10/21/2022,354
599,10,675000,2.0,4,1595,2000,2,6665,10/21/2022,336
600,11,518000,2.0,3,1198,1992,2,4726,10/21/2022,369
601,12,1077851,2.1,2,2441,2022,2,6450,10/20/2022,470
602,13,1000000,3.0,5,2634,1990,3,12791,10/20/2022,334
603,14,745000,2.0,3,1939,1988,3,11385,10/20/2022,391
604,15,740000,2.1,4,2102,2020,2,3231,10/19/2022,425
605,16,570000,3.0,4,1709,1997,2,3276,10/19/2022,411
606,17,670000,2.0,3,1698,1985,2,21047,10/19/2022,349
607,18,1050000,4.0,5,3721,2002,3,16420,10/19/2022,382
608,19,540000,2.0,3,1195,1985,2,8420,10/18/2022,396
609,20,912500,3.0,4,2427,1993,3,8712,10/18/2022,423
610,21,825000,3.0,4,2706,1990,3,7261,10/18/2022,378
611,22,649500,2.0,3,1313,1996,2,5746,10/18/2022,362
612,23,780000,3.1,5,2825,2015,2,4413,10/18/2022,424
613,24,830000,3.0,4,2736,2003,3,6347,10/17/2022,389
614,25,820000,3.0,4,2779,1990,3,7649,10/17/2022,396
615,26,740000,3.0,4,1851,2005,2,5933,10/17/2022,376
616,27,825000,4.1,5,2953,2022,2,5502,10/17/2022,419
617,28,725000,2.0,3,1687,2004,3,7754,10/17/2022,343
618,29,1000000,3.0,4,4068,2001,3,12111,10/17/2022,383
619,30,1250000,4.0,5,3478,2002,3,17508,10/17/2022,347
620,0,559900,2.1,3,1501,2007,2,0,10/17/2022,349
621,1,659900,2.0,4,1939,1990,2,7261,10/17/2022,335
622,2,723207,2.0,2,1542,2022,2,6803,10/14/2022,470
623,3,805000,3.0,4,2452,1989,3,8499,10/14/2022,410
624,4,498350,2.0,2,1324,2011,2,0,10/14/2022,336
625,5,735000,3.0,4,2231,1999,2,7918,10/13/2022,431
626,6,159000,2.0,2,1248,1976,0,0,10/13/2022,348
627,7,562990,2.1,3,1654,2022,2,3150,10/11/2022,403
628,8,658562,2.1,4,2102,2022,2,2800,10/11/2022,376
629,9,624100,2.0,3,1661,1998,3,6878,10/11/2022,391
630,10,845000,2.1,3,2480,2004,3,8172,10/11/2022,355
631,11,545000,2.0,2,1285,1997,2,3829,10/11/2022,355
632,12,750000,2.1,3,2287,2020,2,6107,10/07/2022,376
633,13,770000,2.0,3,1997,1998,3,7309,10/07/2022,376
634,14,500000,2.0,4,1345,1979,2,8080,10/07/2022,455
635,15,569000,2.0,3,1313,1994,2,4491,10/06/2022,359
636,16,660000,2.1,4,1858,1995,2,5628,10/06/2022,406
637,17,725000,2.1,3,2457,2004,2,6900,10/06/2022,367
638,18,625000,1.0,2,1159,1940,1,7000,10/06/2022,342
639,19,530000,2.0,2,1313,1995,2,5184,10/05/2022,369
640,20,1070000,3.1,5,3254,1989,3,13744,10/05/2022,375
641,21,55000,1.0,1,612,1969,0,0,10/05/2022,370
642,22,850000,3.1,4,2680,2021,3,5401,10/04/2022,379
643,23,405000,1.0,2,840,1960,0,4761,10/04/2022,347
644,24,750000,3.0,4,2295,1998,3,7275,10/04/2022,368
645,25,699999,3.0,4,2263,1990,3,6599,10/03/2022,389
646,26,660000,2.1,4,1935,2008,2,2810,10/03/2022,376
647,27,721390,2.0,2,1542,2022,2,5194,09/30/2022,377
648,28,1890000,4.1,5,4444,2022,3,10138,09/30/2022,438
649,29,1575000,4.1,5,3503,2019,2,7800,09/30/2022,429
650,30,778500,2.1,3,2287,2020,2,6107,09/30/2022,405
651,0,565000,2.0,2,1249,1994,2,3659,09/30/2022,400
652,1,715000,2.0,3,1687,2004,3,7762,09/30/2022,378
653,2,725000,2.1,3,2213,2006,2,6621,09/30/2022,460
654,3,775873,3.0,4,2404,2022,2,4267,09/29/2022,410
655,4,600000,2.0,3,1500,2022,2,4257,09/29/2022,410
656,5,750000,3.0,4,2456,1989,3,9666,09/29/2022,452
657,6,1415000,3.1,4,3000,2019,3,7607,09/29/2022,429
658,7,1399990,5.0,5,3877,2022,3,9397,09/29/2022,413
659,8,695400,3.0,4,2357,2022,2,3195,09/29/2022,411
660,9,700000,2.0,3,1753,2001,2,7985,09/29/2022,369
661,10,899000,4.0,4,2796,1998,3,8377,09/29/2022,368
662,11,600000,2.1,3,1832,2022,2,2800,09/28/2022,389
663,12,685902,3.0,4,2278,2022,2,4103,09/28/2022,454
664,13,955000,3.0,5,2585,1991,3,9069,09/28/2022,363
665,14,750000,2.0,3,1997,1999,3,8289,09/27/2022,418
666,15,579000,2.1,2,1381,1994,2,2526,09/27/2022,411
667,16,532500,2.1,3,1451,1998,2,3306,09/26/2022,363
668,17,950000,3.0,4,3134,2000,3,6826,09/26/2022,467
669,18,720000,3.0,4,2407,2022,3,5584,09/26/2022,620
670,19,345000,1.0,1,750,2007,0,0,09/26/2022,417
671,20,802467,2.0,2,1563,2022,2,5883,09/23/2022,498
672,21,1230000,3.0,4,3393,1998,3,14968,09/23/2022,425
673,22,1335490,3.1,4,2966,2022,3,9926,09/23/2022,709
674,23,869202,2.1,2,2128,2022,2,5225,09/22/2022,382
675,24,545000,2.0,3,1258,1979,2,7701,09/22/2022,403
676,25,720000,3.0,4,2335,2022,2,5357,09/22/2022,385
677,26,600000,2.1,3,1867,1990,2,3999,09/22/2022,396
678,27,249500,2.0,2,1344,1988,0,0,09/21/2022,407
679,28,875000,3.0,4,2114,1932,0,7000,09/21/2022,433
680,29,475000,1.0,3,1083,1951,0,7200,09/20/2022,410
681,30,589000,2.0,3,1975,1986,2,4295,09/20/2022,382
682,0,730000,3.0,3,1875,2020,2,6451,09/19/2022,426
683,1,575000,3.0,4,1760,2009,2,0,09/19/2022,377
684,2,868000,3.0,5,2450,1994,3,8063,09/16/2022,433
685,3,775000,3.0,4,2263,1990,3,9300,09/16/2022,434
686,4,1220000,3.1,4,2834,2022,3,12201,09/16/2022,403
687,5,490000,2.0,2,1519,2006,2,601927,09/16/2022,411
688,6,1110000,4.0,5,3487,2000,3,10180,09/15/2022,377
689,7,1060000,3.0,3,2160,1970,2,50803,09/15/2022,397
690,8,690000,2.0,3,1773,2001,2,8046,09/15/2022,420
691,9,1660000,4.0,4,3583,2022,3,21546,09/14/2022,368
692,10,800000,2.0,4,2098,1997,3,7148,09/14/2022,383
693,11,695000,3.0,4,1757,1993,2,5502,09/14/2022,418
694,12,820000,3.0,4,2452,1990,3,8499,09/14/2022,412
695,13,630000,2.0,3,1607,2002,2,5815,09/14/2022,466
696,14,775000,2.1,4,2039,2000,3,9004,09/13/2022,390
697,15,625000,2.1,4,1938,1994,2,4447,09/13/2022,386
698,16,775000,3.0,4,2781,1990,3,8002,09/09/2022,403
699,17,499000,2.1,2,1434,2004,2,0,09/09/2022,391
700,18,700000,3.0,4,2296,1976,4,22317,09/09/2022,401
701,19,695000,3.0,3,1754,1995,0,4805,09/09/2022,397
702,20,629950,2.0,3,1733,2022,2,5025,09/08/2022,440
703,21,595000,2.0,3,1488,1995,2,4940,09/08/2022,432
704,22,890000,3.0,4,2766,2004,3,7841,09/08/2022,381
705,23,850000,3.0,5,2500,1990,3,8263,09/07/2022,438
706,24,685000,3.0,4,2223,1990,3,8168,09/07/2022,397
707,25,697495,2.0,3,1468,2005,2,5227,09/06/2022,396
708,26,950000,3.1,3,2780,2019,3,8320,09/06/2022,403
709,27,875000,4.0,4,3499,2000,3,9230,09/02/2022,431
710,28,659000,3.0,4,1757,1992,2,5493,09/02/2022,385
711,29,855000,3.0,4,2945,2003,2,7819,09/02/2022,418
712,30,325000,1.0,1,750,2007,0,0,09/02/2022,382
713,0,327900,1.0,1,750,2007,0,0,09/02/2022,383
714,1,595000,2.1,3,1604,2005,2,2400,09/02/2022,411
715,2,1500000,3.1,4,4103,2004,3,10873,09/01/2022,391
716,3,533000,2.1,3,1501,2005,2,0,09/01/2022,404
717,4,1075000,3.0,3,3833,2002,3,23814,09/01/2022,390
718,5,725000,3.0,4,2588,2014,2,4356,09/01/2022,453
719,6,660375,2.0,3,1784,2022,2,4916,08/31/2022,526
720,7,610000,2.0,3,1472,1986,3,7440,08/31/2022,397
721,8,651000,2.1,3,1874,2013,2,2814,08/31/2022,398
722,9,1550000,3.1,5,3234,2019,2,7322,08/31/2022,413
723,10,477000,2.0,2,1314,2006,2,0,08/31/2022,396
724,11,785000,3.0,5,2730,1991,3,6599,08/31/2022,461
725,12,1250000,3.1,5,4216,2006,8,12111,08/30/2022,441
726,13,1125000,2.1,4,3102,1983,3,18370,08/30/2022,417
727,14,772000,3.0,4,2335,2019,2,4996,08/30/2022,476
728,15,558000,2.0,2,1245,1999,2,4356,08/30/2022,389
729,16,738517,3.0,3,2228,2022,2,4247,08/30/2022,418
