,Baths,Beds,Garages,Lot_SqFt,Price,Square_Feet,Year_Built,Date_Sold,Days_On_Market
442,2.1,3,2,5545,760000,1771,2000,01/30/2023,229
443,3.1,5,3,6105,850000,3331,2022,01/29/2023,286
444,1.0,2,0,0,85000,702,1999,01/28/2023,297
445,2.0,3,2,8050,525000,1145,1977,01/27/2023,404
446,3.0,4,2,6812,770000,2770,2022,01/26/2023,269
447,2.0,3,2,4069,550000,1429,2023,01/24/2023,389
448,3.0,5,3,12156,910000,3210,1993,01/20/2023,237
449,3.1,4,3,19051,1440000,3568,2005,01/20/2023,239
450,2.0,2,0,0,175000,1650,1979,01/19/2023,232
451,2.1,2,2,5238,803689,1876,2022,01/18/2023,343
452,2.1,4,3,8712,765000,2710,1993,01/18/2023,349
453,2.0,2,0,0,119000,1536,1970,01/18/2023,444
454,3.0,4,2,8420,720000,2258,1988,01/17/2023,257
455,2.0,3,3,7658,695000,1798,1998,01/17/2023,347
456,2.0,3,2,5388,550000,1198,1993,01/17/2023,341
457,5.3,6,5,14243,2200000,6053,2023,01/13/2023,279
458,2.0,3,3,9352,815000,2300,2004,01/13/2023,265
459,3.0,3,2,10481,785000,2020,1995,01/13/2023,305
460,2.1,4,2,2609,585000,1930,2008,01/13/2023,341
461,2.1,3,3,9291,890000,2710,1994,01/13/2023,368
462,2.1,3,2,3120,560000,1654,2023,01/12/2023,284
463,2.0,2,2,3384,425000,1012,1997,01/12/2023,301
464,1.0,3,0,6007,400390,1039,1955,01/12/2023,295
465,3.0,3,2,6303,708252,2228,2022,01/10/2023,285
466,2.0,3,0,10228,420000,1149,1955,01/10/2023,270
467,3.0,4,3,9727,1123500,3246,1998,01/09/2023,334
468,3.0,5,2,21228,800000,2390,1986,01/09/2023,328
469,3.0,4,3,13335,745000,2270,1990,01/09/2023,305
470,2.0,4,3,8298,780000,2098,1997,01/09/2023,291
471,2.1,4,3,6904,675000,2381,2001,01/06/2023,376
472,3.1,4,4,11884,1080000,3404,1999,01/05/2023,280
473,4.2,5,3,9744,1440000,3570,2022,01/05/2023,340
474,2.0,3,2,7375,722000,2090,2002,01/05/2023,287
475,2.1,2,2,5300,779544,1925,2022,01/04/2023,343
476,3.0,4,5,36151,1400000,3776,1985,01/04/2023,252
477,2.1,4,2,8812,765377,2191,2022,01/03/2023,269
478,3.0,4,3,8647,960000,2956,2001,01/03/2023,267
479,3.1,4,2,9148,875000,2926,1992,01/03/2023,299
480,2.1,4,2,6518,775000,2370,2022,12/30/2022,324
481,3.0,4,3,8699,695000,2256,1989,12/30/2022,313
482,2.0,3,2,7065,568000,1204,1979,12/30/2022,269
483,2.0,3,2,7118,599000,1506,1999,12/30/2022,271
484,2.0,2,2,4876,600450,1398,2022,12/29/2022,304
485,2.0,2,0,0,140000,1060,1971,12/28/2022,339
486,2.0,2,0,0,295000,2040,1978,12/28/2022,361
487,4.1,4,4,14651,1130000,4546,1991,12/27/2022,436
488,3.0,4,3,7292,790000,3154,2001,12/27/2022,368
489,2.1,3,2,4447,575000,1677,1994,12/27/2022,433
490,3.0,4,2,2970,680000,2357,2022,12/27/2022,348
491,3.0,4,2,4000,753990,2611,2022,12/26/2022,330
492,3.0,4,2,5266,700000,2768,2019,12/23/2022,342
493,2.1,3,2,8150,590000,2213,2006,12/22/2022,337
494,3.0,3,2,6355,900000,2400,2018,12/22/2022,272
495,3.0,4,2,3655,650000,2157,2020,12/21/2022,286
496,2.1,4,3,17508,745000,2086,1983,12/20/2022,331
497,2.0,2,0,0,215000,1440,1973,12/19/2022,379
498,3.0,3,0,3511,560000,1718,2001,12/19/2022,300
499,3.0,4,3,12791,750000,2427,1990,12/19/2022,319
500,3.1,4,2,4255,630000,2143,2022,12/19/2022,299
501,2.1,5,3,14651,950000,3360,2000,12/15/2022,328
502,2.1,3,2,0,530000,1747,2005,12/15/2022,341
503,2.0,3,2,8751,515000,1195,1985,12/15/2022,280
504,2.0,2,0,0,210000,1776,1978,12/13/2022,440
505,2.0,3,2,6186,660000,2079,1991,12/12/2022,314
506,2.0,3,2,5271,590000,1327,1999,12/09/2022,341
507,3.0,4,2,12746,1475000,3084,2020,12/09/2022,293
508,3.0,4,2,6125,727000,1834,1999,12/09/2022,291
509,3.0,3,2,3389,565000,1709,1998,12/09/2022,354
510,2.1,3,2,2544,525000,1583,2016,12/09/2022,304
511,2.1,4,2,3293,635000,2335,2018,12/08/2022,417
512,2.0,3,1,5593,515000,1302,1954,12/08/2022,299
513,2.0,2,0,0,149500,1392,1970,12/08/2022,391
514,2.1,2,2,0,455000,1355,2005,12/07/2022,320
515,4.1,5,3,7919,1050000,3000,2020,12/07/2022,284
516,2.0,3,2,8133,720500,1793,1989,12/07/2022,311
517,2.0,2,2,8059,500000,1207,1995,12/05/2022,305
518,2.0,3,2,7998,595000,1458,2003,12/05/2022,339
519,2.1,4,3,7758,725000,2237,2000,12/05/2022,299
520,2.0,3,2,7100,715000,2082,2003,12/02/2022,361
521,2.1,3,2,3729,560000,1573,2004,12/02/2022,312
522,2.0,3,2,4948,560000,1352,1992,12/02/2022,432
523,3.1,4,3,7218,1060000,3426,2004,12/02/2022,326
524,3.0,4,2,7950,775000,1834,2000,12/02/2022,306
525,2.0,3,2,8468,715000,2090,2002,12/01/2022,438
526,3.0,4,2,4000,776500,2995,2022,11/30/2022,410
527,2.1,3,2,12065,725000,2495,1987,11/29/2022,383
528,3.0,5,2,5119,650000,2278,2022,11/28/2022,320
529,2.0,3,2,5824,602000,1313,1996,11/28/2022,326
530,2.0,4,2,7998,699000,2271,1991,11/28/2022,348
531,3.0,4,3,7131,725000,2214,1991,11/23/2022,411
532,2.0,4,2,19368,650000,2285,1987,11/23/2022,313
533,3.0,4,3,19731,1000000,2556,1993,11/23/2022,300
534,2.0,3,2,6939,815000,2278,2003,11/22/2022,335
535,2.0,3,2,6078,700000,2342,2022,11/22/2022,411
536,2.0,2,0,0,279000,1800,1978,11/22/2022,390
537,2.0,3,2,4250,623990,1429,2022,11/21/2022,340
538,2.0,3,2,4792,605000,1488,1995,11/21/2022,319
539,3.0,6,3,14515,1200000,3740,2002,11/21/2022,321
540,2.1,3,2,13744,650000,2028,1985,11/18/2022,326
541,2.0,2,0,0,166000,1440,1979,11/18/2022,328
542,3.0,4,3,7431,810000,2263,1989,11/18/2022,328
543,2.0,3,3,6865,640000,1472,1990,11/18/2022,355
544,1.1,3,2,7000,505000,1196,1959,11/17/2022,404
545,3.0,4,3,28168,809500,2950,1990,11/17/2022,320
546,2.1,5,2,18733,650000,2625,1980,11/17/2022,340
547,2.0,3,2,8716,435000,1421,1973,11/16/2022,375
548,2.0,4,2,7588,625000,1939,1990,11/15/2022,354
549,3.1,4,3,19096,1350000,3568,2005,11/15/2022,306
550,3.0,5,3,7623,805000,2812,1990,11/15/2022,395
551,2.1,3,2,4901,574900,1625,1995,11/15/2022,327
552,4.0,5,3,22226,1000000,4223,1989,11/14/2022,326
553,2.0,3,3,13290,751000,1757,1989,11/14/2022,327
554,2.0,3,2,7471,586500,1200,1985,11/10/2022,344
555,3.1,4,3,21183,1129000,4409,2004,11/10/2022,326
556,2.0,2,2,0,504000,1519,2006,11/10/2022,446
557,2.0,3,2,2970,620000,1895,2022,11/10/2022,411
558,2.0,4,3,8276,785000,1787,1993,11/10/2022,320
559,3.0,4,3,11793,905000,2835,1992,11/10/2022,450
560,2.1,4,3,8285,850000,2381,2000,11/10/2022,340
561,2.1,4,2,11975,685000,2185,1985,11/09/2022,369
562,2.1,4,3,8503,750000,2462,2006,11/09/2022,462
563,3.1,3,3,16964,1388000,3104,2018,11/09/2022,326
564,4.0,6,3,12610,824500,3268,1990,11/08/2022,390
565,2.0,2,2,3886,478000,1130,2002,11/07/2022,459
566,3.0,4,2,3293,715000,2409,2019,11/07/2022,355
567,2.0,3,3,10454,670000,1752,1992,11/07/2022,377
568,2.0,3,2,2800,585000,1832,2022,11/04/2022,341
569,3.0,4,3,11476,950000,2719,1996,11/04/2022,335
570,3.1,5,3,11521,1100000,3246,2013,11/03/2022,406
571,3.1,3,2,6560,740000,2350,2014,11/03/2022,339
572,3.0,4,3,5998,775000,2479,1991,11/02/2022,333
573,2.1,3,3,6011,625000,1710,1997,11/02/2022,320
574,3.0,5,3,8080,950000,2736,2004,11/02/2022,362
575,3.0,4,3,20774,1175000,3255,2002,11/02/2022,410
576,5.0,5,3,9649,1400000,3877,2022,11/02/2022,368
577,2.0,2,0,0,280000,2176,1979,11/02/2022,431
578,1.1,2,0,945,350000,1243,1983,11/01/2022,377
579,2.0,3,2,5375,680000,1779,2021,11/01/2022,410
580,2.0,4,2,9165,665000,1607,2002,11/01/2022,320
581,2.1,3,2,4992,655000,2203,2015,10/31/2022,379
582,2.1,3,2,15694,690000,1860,1990,10/31/2022,353
583,2.0,4,3,8446,722000,2043,2013,10/31/2022,347
584,3.0,5,2,17100,861500,3284,1974,10/28/2022,333
585,2.0,3,0,0,290000,1800,1973,10/28/2022,375
586,3.0,4,3,7745,725000,2620,1998,10/28/2022,334
587,3.0,3,2,4831,730000,2061,2014,10/28/2022,349
588,2.0,4,3,7396,725000,2015,1991,10/27/2022,326
589,3.1,3,3,11793,935000,2780,2019,10/27/2022,355
590,2.1,2,2,0,470000,1355,2004,10/27/2022,348
591,3.0,6,3,13471,1175000,3488,2001,10/26/2022,362
592,2.1,3,2,2884,590062,1832,2022,10/25/2022,491
593,2.0,3,2,8651,525000,1470,1979,10/25/2022,343
594,2.1,4,2,3036,620000,1938,2017,10/25/2022,334
595,2.0,4,2,11702,749000,2118,1964,10/24/2022,396
596,2.0,3,2,4596,532000,1245,1995,10/24/2022,474
597,2.0,3,2,7166,690000,1891,2020,10/24/2022,335
598,3.0,4,2,7492,790000,2258,1987,10/21/2022,354
599,2.0,4,2,6665,675000,1595,2000,10/21/2022,336
600,2.0,3,2,4726,518000,1198,1992,10/21/2022,369
601,2.1,2,2,6450,1077851,2441,2022,10/20/2022,470
602,3.0,5,3,12791,1000000,2634,1990,10/20/2022,334
603,2.0,3,3,11385,745000,1939,1988,10/20/2022,391
604,2.1,4,2,3231,740000,2102,2020,10/19/2022,425
605,3.0,4,2,3276,570000,1709,1997,10/19/2022,411
606,2.0,3,2,21047,670000,1698,1985,10/19/2022,349
607,4.0,5,3,16420,1050000,3721,2002,10/19/2022,382
608,2.0,3,2,8420,540000,1195,1985,10/18/2022,396
609,3.0,4,3,8712,912500,2427,1993,10/18/2022,423
610,3.0,4,3,7261,825000,2706,1990,10/18/2022,378
611,2.0,3,2,5746,649500,1313,1996,10/18/2022,362
612,3.1,5,2,4413,780000,2825,2015,10/18/2022,424
613,3.0,4,3,6347,830000,2736,2003,10/17/2022,389
614,3.0,4,3,7649,820000,2779,1990,10/17/2022,396
615,3.0,4,2,5933,740000,1851,2005,10/17/2022,376
616,4.1,5,2,5502,825000,2953,2022,10/17/2022,419
617,2.0,3,3,7754,725000,1687,2004,10/17/2022,343
618,3.0,4,3,12111,1000000,4068,2001,10/17/2022,383
619,4.0,5,3,17508,1250000,3478,2002,10/17/2022,347
620,2.1,3,2,0,559900,1501,2007,10/17/2022,349
621,2.0,4,2,7261,659900,1939,1990,10/17/2022,335
622,2.0,2,2,6803,723207,1542,2022,10/14/2022,470
623,3.0,4,3,8499,805000,2452,1989,10/14/2022,410
624,2.0,2,2,0,498350,1324,2011,10/14/2022,336
625,3.0,4,2,7918,735000,2231,1999,10/13/2022,431
626,2.0,2,0,0,159000,1248,1976,10/13/2022,348
627,2.1,3,2,3150,562990,1654,2022,10/11/2022,403
628,2.1,4,2,2800,658562,2102,2022,10/11/2022,376
629,2.0,3,3,6878,624100,1661,1998,10/11/2022,391
630,2.1,3,3,8172,845000,2480,2004,10/11/2022,355
631,2.0,2,2,3829,545000,1285,1997,10/11/2022,355
632,2.1,3,2,6107,750000,2287,2020,10/07/2022,376
633,2.0,3,3,7309,770000,1997,1998,10/07/2022,376
634,2.0,4,2,8080,500000,1345,1979,10/07/2022,455
635,2.0,3,2,4491,569000,1313,1994,10/06/2022,359
636,2.1,4,2,5628,660000,1858,1995,10/06/2022,406
637,2.1,3,2,6900,725000,2457,2004,10/06/2022,367
638,1.0,2,1,7000,625000,1159,1940,10/06/2022,342
639,2.0,2,2,5184,530000,1313,1995,10/05/2022,369
640,3.1,5,3,13744,1070000,3254,1989,10/05/2022,375
641,1.0,1,0,0,55000,612,1969,10/05/2022,370
642,3.1,4,3,5401,850000,2680,2021,10/04/2022,379
643,1.0,2,0,4761,405000,840,1960,10/04/2022,347
644,3.0,4,3,7275,750000,2295,1998,10/04/2022,368
645,3.0,4,3,6599,699999,2263,1990,10/03/2022,389
646,2.1,4,2,2810,660000,1935,2008,10/03/2022,376
647,2.0,2,2,5194,721390,1542,2022,09/30/2022,377
648,4.1,5,3,10138,1890000,4444,2022,09/30/2022,438
649,4.1,5,2,7800,1575000,3503,2019,09/30/2022,429
650,2.1,3,2,6107,778500,2287,2020,09/30/2022,405
651,2.0,2,2,3659,565000,1249,1994,09/30/2022,400
652,2.0,3,3,7762,715000,1687,2004,09/30/2022,378
653,2.1,3,2,6621,725000,2213,2006,09/30/2022,460
654,3.0,4,2,4267,775873,2404,2022,09/29/2022,410
655,2.0,3,2,4257,600000,1500,2022,09/29/2022,410
656,3.0,4,3,9666,750000,2456,1989,09/29/2022,452
657,3.1,4,3,7607,1415000,3000,2019,09/29/2022,429
658,5.0,5,3,9397,1399990,3877,2022,09/29/2022,413
659,3.0,4,2,3195,695400,2357,2022,09/29/2022,411
660,2.0,3,2,7985,700000,1753,2001,09/29/2022,369
661,4.0,4,3,8377,899000,2796,1998,09/29/2022,368
662,2.1,3,2,2800,600000,1832,2022,09/28/2022,389
663,3.0,4,2,4103,685902,2278,2022,09/28/2022,454
664,3.0,5,3,9069,955000,2585,1991,09/28/2022,363
665,2.0,3,3,8289,750000,1997,1999,09/27/2022,418
666,2.1,2,2,2526,579000,1381,1994,09/27/2022,411
667,2.1,3,2,3306,532500,1451,1998,09/26/2022,363
668,3.0,4,3,6826,950000,3134,2000,09/26/2022,467
669,3.0,4,3,5584,720000,2407,2022,09/26/2022,620
670,1.0,1,0,0,345000,750,2007,09/26/2022,417
671,2.0,2,2,5883,802467,1563,2022,09/23/2022,498
672,3.0,4,3,14968,1230000,3393,1998,09/23/2022,425
673,3.1,4,3,9926,1335490,2966,2022,09/23/2022,709
674,2.1,2,2,5225,869202,2128,2022,09/22/2022,382
675,2.0,3,2,7701,545000,1258,1979,09/22/2022,403
676,3.0,4,2,5357,720000,2335,2022,09/22/2022,385
677,2.1,3,2,3999,600000,1867,1990,09/22/2022,396
678,2.0,2,0,0,249500,1344,1988,09/21/2022,407
679,3.0,4,0,7000,875000,2114,1932,09/21/2022,433
680,1.0,3,0,7200,475000,1083,1951,09/20/2022,410
681,2.0,3,2,4295,589000,1975,1986,09/20/2022,382
682,3.0,3,2,6451,730000,1875,2020,09/19/2022,426
683,3.0,4,2,0,575000,1760,2009,09/19/2022,377
684,3.0,5,3,8063,868000,2450,1994,09/16/2022,433
685,3.0,4,3,9300,775000,2263,1990,09/16/2022,434
686,3.1,4,3,12201,1220000,2834,2022,09/16/2022,403
687,2.0,2,2,601927,490000,1519,2006,09/16/2022,411
688,4.0,5,3,10180,1110000,3487,2000,09/15/2022,377
689,3.0,3,2,50803,1060000,2160,1970,09/15/2022,397
690,2.0,3,2,8046,690000,1773,2001,09/15/2022,420
691,4.0,4,3,21546,1660000,3583,2022,09/14/2022,368
692,2.0,4,3,7148,800000,2098,1997,09/14/2022,383
693,3.0,4,2,5502,695000,1757,1993,09/14/2022,418
694,3.0,4,3,8499,820000,2452,1990,09/14/2022,412
695,2.0,3,2,5815,630000,1607,2002,09/14/2022,466
696,2.1,4,3,9004,775000,2039,2000,09/13/2022,390
697,2.1,4,2,4447,625000,1938,1994,09/13/2022,386
698,3.0,4,3,8002,775000,2781,1990,09/09/2022,403
699,2.1,2,2,0,499000,1434,2004,09/09/2022,391
700,3.0,4,4,22317,700000,2296,1976,09/09/2022,401
701,3.0,3,0,4805,695000,1754,1995,09/09/2022,397
702,2.0,3,2,5025,629950,1733,2022,09/08/2022,440
703,2.0,3,2,4940,595000,1488,1995,09/08/2022,432
704,3.0,4,3,7841,890000,2766,2004,09/08/2022,381
705,3.0,5,3,8263,850000,2500,1990,09/07/2022,438
706,3.0,4,3,8168,685000,2223,1990,09/07/2022,397
707,2.0,3,2,5227,697495,1468,2005,09/06/2022,396
708,3.1,3,3,8320,950000,2780,2019,09/06/2022,403
709,4.0,4,3,9230,875000,3499,2000,09/02/2022,431
710,3.0,4,2,5493,659000,1757,1992,09/02/2022,385
711,3.0,4,2,7819,855000,2945,2003,09/02/2022,418
712,1.0,1,0,0,325000,750,2007,09/02/2022,382
713,1.0,1,0,0,327900,750,2007,09/02/2022,383
714,2.1,3,2,2400,595000,1604,2005,09/02/2022,411
715,3.1,4,3,10873,1500000,4103,2004,09/01/2022,391
716,2.1,3,2,0,533000,1501,2005,09/01/2022,404
717,3.0,3,3,23814,1075000,3833,2002,09/01/2022,390
718,3.0,4,2,4356,725000,2588,2014,09/01/2022,453
719,2.0,3,2,4916,660375,1784,2022,08/31/2022,526
720,2.0,3,3,7440,610000,1472,1986,08/31/2022,397
721,2.1,3,2,2814,651000,1874,2013,08/31/2022,398
722,3.1,5,2,7322,1550000,3234,2019,08/31/2022,413
723,2.0,2,2,0,477000,1314,2006,08/31/2022,396
724,3.0,5,3,6599,785000,2730,1991,08/31/2022,461
725,3.1,5,8,12111,1250000,4216,2006,08/30/2022,441
726,2.1,4,3,18370,1125000,3102,1983,08/30/2022,417
727,3.0,4,2,4996,772000,2335,2019,08/30/2022,476
728,2.0,2,2,4356,558000,1245,1999,08/30/2022,389
729,3.0,3,2,4247,738517,2228,2022,08/30/2022,418
